date,node,country,transport,version,lower,upper,clients,frac
2017-10-01,relay,ki,,,0,15,4,83
2017-10-01,relay,km,,,0,23,11,83
2017-10-01,relay,kn,,,44,143,85,83
2017-10-01,relay,kp,,,13,69,32,83
2017-10-01,relay,kr,,,5704,8821,7326,83
2017-10-01,relay,kw,,,1151,1972,1534,83
2017-10-01,relay,ky,,,27,104,54,83
2017-10-01,relay,kz,,,1594,2657,2154,83
2017-10-01,relay,la,,,83,223,130,83
2017-10-01,relay,lb,,,640,1166,864,83
2017-10-01,relay,lc,,,26,102,56,83
2017-10-01,relay,li,,,61,178,114,83
2017-10-01,relay,lk,,,519,970,749,83
2017-10-01,relay,lr,,,74,206,142,83
2017-10-01,relay,ls,,,110,272,165,83
2017-10-01,relay,lt,,,22596,33470,42085,83
2017-10-01,relay,lu,,,1121,1924,1484,83
2017-10-01,relay,lv,,,4920,7658,5943,83
2017-10-01,relay,ly,,,365,716,543,83
2017-10-01,relay,ma,,,1790,2957,2309,83
2017-10-01,relay,mc,,,63,183,130,83
2017-10-01,relay,md,,,10275,15544,12414,83
2017-10-01,relay,me,,,214,459,321,83
2017-10-01,relay,mf,,,1,31,8,83
2017-10-01,relay,mg,,,207,447,284,83
2017-10-01,relay,mh,,,0,17,7,83
2017-10-01,relay,mk,,,420,808,602,83
2017-10-01,relay,ml,,,246,514,323,83
2017-10-01,relay,mm,,,145,338,203,83
2017-10-01,relay,mn,,,219,469,321,83
2017-10-01,relay,mo,,,227,483,365,83
2017-10-01,relay,mp,,,3,38,14,83
2017-10-01,relay,mq,,,196,429,319,83
2017-10-01,relay,mr,,,48,151,71,83
2017-10-01,relay,ms,,,0,10,2,83
2017-10-01,relay,mt,,,277,567,401,83
2017-10-01,relay,mu,,,415,800,634,83
2017-10-01,relay,mv,,,144,335,233,83
2017-10-01,relay,mw,,,35,123,87,83
2017-10-01,relay,mx,,,7935,12111,9702,83
2017-10-01,relay,my,,,3451,5468,4422,83
2017-10-01,relay,mz,,,83,223,158,83
2017-10-01,relay,na,,,134,319,201,83
2017-10-01,relay,nc,,,190,419,300,83
2017-10-01,relay,ne,,,27,106,52,83
2017-10-01,relay,nf,,,,,0,83
2017-10-01,relay,ng,,,1209,2063,1604,83
2017-10-01,relay,ni,,,184,407,272,83
2017-10-01,relay,nl,,,61978,90213,95612,83
2017-10-01,relay,no,,,4706,7340,5677,83
2017-10-01,relay,np,,,386,752,429,83
2017-10-01,relay,nr,,,0,6,1,83
2017-10-01,relay,nz,,,2312,3752,2990,83
2017-10-01,relay,om,,,4066,6386,5298,83
2017-10-01,relay,pa,,,474,896,655,83
2017-10-01,relay,pe,,,1606,2675,2073,83
2017-10-01,relay,pf,,,108,270,198,83
2017-10-01,relay,pg,,,71,199,122,83
2017-10-01,relay,ph,,,2868,4592,4020,83
2017-10-01,relay,pk,,,3363,5337,4135,83
2017-10-01,relay,pl,,,16400,24479,20238,83
2017-10-01,relay,pm,,,3,38,18,83
2017-10-01,relay,pr,,,27,106,81,83
2017-10-01,relay,ps,,,309,622,413,83
2017-10-01,relay,pt,,,4188,6569,5367,83
2017-10-01,relay,pw,,,0,15,3,83
2017-10-01,relay,py,,,482,909,648,83
2017-10-01,relay,qa,,,1377,2321,1732,83
2017-10-01,relay,re,,,446,850,635,83
2017-10-01,relay,ro,,,13227,19858,18841,83
2017-10-01,relay,rs,,,1983,3252,2623,83
2017-10-01,relay,ru,,,176261,253775,220829,83
2017-10-01,relay,rw,,,74,202,139,83
2017-10-01,relay,sa,,,4396,6879,5706,83
2017-10-01,relay,sb,,,0,27,13,83
2017-10-01,relay,sc,,,19347,28759,51225,83
2017-10-01,relay,sd,,,367,719,512,83
2017-10-01,relay,se,,,12263,18451,14923,83
2017-10-01,relay,sg,,,5880,9080,7690,83
2017-10-01,relay,si,,,1279,2170,1613,83
2017-10-01,relay,sj,,,,,0,83
2017-10-01,relay,sk,,,2451,3962,3068,83
2017-10-01,relay,sl,,,7,53,36,83
2017-10-01,relay,sm,,,2,34,10,83
2017-10-01,relay,sn,,,321,642,403,83
2017-10-01,relay,so,,,51,159,94,83
2017-10-01,relay,sr,,,94,243,167,83
2017-10-01,relay,ss,,,13,73,42,83
2017-10-01,relay,st,,,0,17,4,83
2017-10-01,relay,sv,,,311,625,470,83
2017-10-01,relay,sx,,,0,22,9,83
2017-10-01,relay,sy,,,618,1130,845,83
2017-10-01,relay,sz,,,8,55,26,83
2017-10-01,relay,tc,,,0,22,13,83
2017-10-01,relay,td,,,12,67,36,83
2017-10-01,relay,tg,,,52,160,98,83
2017-10-01,relay,th,,,3707,5851,4594,83
2017-10-01,relay,tj,,,118,289,179,83
2017-10-01,relay,tl,,,2,34,10,83
2017-10-01,relay,tm,,,2,34,16,83
2017-10-01,relay,tn,,,1017,1763,2026,83
2017-10-01,relay,to,,,0,22,6,83
2017-10-01,relay,tr,,,2759,4428,3394,83
2017-10-01,relay,tt,,,411,793,559,83
2017-10-01,relay,tv,,,,,0,83
2017-10-01,relay,tw,,,22067,32703,23915,83
2017-10-01,relay,tz,,,186,411,269,83
2017-10-01,relay,ua,,,147232,212299,170805,83
2017-10-01,relay,ug,,,233,493,337,83
2017-10-01,relay,us,,,349275,500555,410458,83
2017-10-01,relay,uy,,,795,1412,1105,83
2017-10-01,relay,uz,,,507,950,678,83
2017-10-01,relay,va,,,0,6,1,83
2017-10-01,relay,vc,,,9,60,30,83
2017-10-01,relay,ve,,,2451,3964,3158,83
2017-10-01,relay,vg,,,0,27,11,83
2017-10-01,relay,vi,,,0,10,5,83
2017-10-01,relay,vn,,,3401,5393,4138,83
2017-10-01,relay,vu,,,3,38,12,83
2017-10-01,relay,wf,,,0,6,9,83
2017-10-01,relay,ws,,,0,17,4,83
2017-10-01,relay,xk,,,23,96,44,83
2017-10-01,relay,ye,,,284,580,432,83
2017-10-01,relay,yt,,,14,74,35,83
2017-10-01,relay,za,,,3024,4825,4034,83
2017-10-01,relay,zm,,,126,303,178,83
2017-10-01,relay,zw,,,165,374,263,83
2017-10-01,relay,,,,,,2395790,83
2017-10-01,relay,??,,,,,29238,83
2017-10-01,relay,tf,,,,,0,83
2017-10-01,bridge,a1,,,,,1,66
2017-10-01,bridge,a2,,,,,0,66
2017-10-01,bridge,ad,,,,,2,66
2017-10-01,bridge,ae,,,,,386,66
2017-10-01,bridge,af,,,,,10,66
2017-10-01,bridge,ag,,,,,0,66
2017-10-01,bridge,al,,,,,25,66
2017-10-01,bridge,am,,,,,13,66
2017-10-01,bridge,an,,,,,0,66
2017-10-01,bridge,ao,,,,,6,66
2017-10-01,bridge,ar,,,,,104,66
2017-10-01,bridge,as,,,,,1,66
2017-10-01,bridge,at,,,,,175,66
2017-10-01,bridge,au,,,,,449,66
2017-10-01,bridge,aw,,,,,3,66
2017-10-01,bridge,ax,,,,,0,66
2017-10-01,bridge,az,,,,,18,66
2017-10-01,bridge,ba,,,,,11,66
2017-10-01,bridge,bb,,,,,0,66
2017-10-01,bridge,bd,,,,,186,66
2017-10-01,bridge,be,,,,,96,66
2017-10-01,bridge,bf,,,,,2,66
2017-10-01,bridge,bg,,,,,43,66
2017-10-01,bridge,bh,,,,,15,66
2017-10-01,bridge,bi,,,,,2,66
2017-10-01,bridge,bj,,,,,4,66
2017-10-01,bridge,bm,,,,,0,66
2017-10-01,bridge,bn,,,,,5,66
2017-10-01,bridge,bo,,,,,25,66
2017-10-01,bridge,br,,,,,4366,66
2017-10-01,bridge,bs,,,,,3,66
2017-10-01,bridge,bt,,,,,0,66
2017-10-01,bridge,bw,,,,,3,66
2017-10-01,bridge,by,,,,,999,66
2017-10-01,bridge,bz,,,,,2,66
2017-10-01,bridge,ca,,,,,524,66
2017-10-01,bridge,cd,,,,,9,66
2017-10-01,bridge,cg,,,,,0,66
2017-10-01,bridge,ch,,,,,349,66
2017-10-01,bridge,ci,,,,,23,66
2017-10-01,bridge,cl,,,,,81,66
2017-10-01,bridge,cm,,,,,29,66
2017-10-01,bridge,cn,,,,,714,66
2017-10-01,bridge,co,,,,,110,66
2017-10-01,bridge,cr,,,,,17,66
2017-10-01,bridge,cu,,,,,7,66
2017-10-01,bridge,cv,,,,,2,66
2017-10-01,bridge,cw,,,,,1,66
2017-10-01,bridge,cx,,,,,0,66
2017-10-01,bridge,cy,,,,,13,66
2017-10-01,bridge,cz,,,,,116,66
2017-10-01,bridge,de,,,,,1455,66
2017-10-01,bridge,dj,,,,,0,66
2017-10-01,bridge,dk,,,,,70,66
2017-10-01,bridge,dm,,,,,1,66
2017-10-01,bridge,do,,,,,17,66
2017-10-01,bridge,dz,,,,,152,66
2017-10-01,bridge,ec,,,,,28,66
2017-10-01,bridge,ee,,,,,15,66
2017-10-01,bridge,eg,,,,,964,66
2017-10-01,bridge,er,,,,,1,66
2017-10-01,bridge,es,,,,,380,66
2017-10-01,bridge,et,,,,,27,66
2017-10-01,bridge,eu,,,,,25,66
2017-10-01,bridge,fi,,,,,135,66
2017-10-01,bridge,fj,,,,,3,66
2017-10-01,bridge,fo,,,,,1,66
2017-10-01,bridge,fr,,,,,815,66
2017-10-01,bridge,ga,,,,,2,66
2017-10-01,bridge,gb,,,,,1487,66
2017-10-01,bridge,gd,,,,,1,66
2017-10-01,bridge,ge,,,,,14,66
2017-10-01,bridge,gf,,,,,1,66
2017-10-01,bridge,gg,,,,,0,66
2017-10-01,bridge,gh,,,,,34,66
2017-10-01,bridge,gi,,,,,2,66
2017-10-01,bridge,gl,,,,,2,66
2017-10-01,bridge,gm,,,,,3,66
2017-10-01,bridge,gn,,,,,2,66
2017-10-01,bridge,gp,,,,,5,66
2017-10-01,bridge,gq,,,,,5,66
2017-10-01,bridge,gr,,,,,67,66
2017-10-01,bridge,gt,,,,,9,66
2017-10-01,bridge,gu,,,,,4,66
2017-10-01,bridge,gy,,,,,4,66
2017-10-01,bridge,hk,,,,,86,66
2017-10-01,bridge,hn,,,,,12,66
2017-10-01,bridge,hr,,,,,34,66
2017-10-01,bridge,ht,,,,,3,66
2017-10-01,bridge,hu,,,,,90,66
2017-10-01,bridge,id,,,,,336,66
2017-10-01,bridge,ie,,,,,69,66
2017-10-01,bridge,il,,,,,71,66
2017-10-01,bridge,im,,,,,5,66
2017-10-01,bridge,in,,,,,1156,66
2017-10-01,bridge,iq,,,,,20,66
2017-10-01,bridge,ir,,,,,1017,66
2017-10-01,bridge,is,,,,,16,66
2017-10-01,bridge,it,,,,,497,66
2017-10-01,bridge,je,,,,,3,66
2017-10-01,bridge,jm,,,,,10,66
2017-10-01,bridge,jo,,,,,67,66
2017-10-01,bridge,jp,,,,,477,66
2017-10-01,bridge,ke,,,,,70,66
2017-10-01,bridge,kg,,,,,12,66
2017-10-01,bridge,kh,,,,,9,66
2017-10-01,bridge,kn,,,,,0,66
2017-10-01,bridge,kr,,,,,103,66
2017-10-01,bridge,kw,,,,,31,66
2017-10-01,bridge,ky,,,,,4,66
2017-10-01,bridge,kz,,,,,310,66
2017-10-01,bridge,la,,,,,3,66
2017-10-01,bridge,lb,,,,,22,66
2017-10-01,bridge,lc,,,,,2,66
2017-10-01,bridge,li,,,,,3,66
2017-10-01,bridge,lk,,,,,38,66
2017-10-01,bridge,lr,,,,,6,66
2017-10-01,bridge,ls,,,,,3,66
2017-10-01,bridge,lt,,,,,31,66
2017-10-01,bridge,lu,,,,,35,66
